time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s2),acc_Body_Y(m/s2),acc_Body_Z(m/s2),Isp(s),Mach number,attitude_azimuth(deg),attitude_elevation(deg),attitude_roll(deg),angle of attack alpha(deg),angle of attack beta(deg),all angle of attack gamma(deg),dynamic pressure(Pa),aeroforce_Body_X[N],aeroforce_Body_Y[N],aeroforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
1,993.0473894569686,11028.302621500052,42.506125624415475,143.45649274654477,15.540972609072924,-3783605.6394844875,2803742.1493009934,4287226.888753455,-206.5608834302725,-276.5431610805877,0.18622239552109066,-0.7507325387679618,1.7683026778598327,-1.0947168276030856,-2.115549219777363,-0.6397132238911496,0.21054756673988972,11.105349407846576,-0.00000032798497517916303,-0.001768329863360396,220,0.006498713307844159,113,80,0,50.323403353491535,0.004953440502126057,0,2.989985356270451,-0.1643830305180054,-0.0003257046244920446,-1.7560353545101972,11028.302621500052,0,0,0,0,0,270,0.9692384309580379,0,0,-0.7153080678089039,-0.2670787085282293,-0.6457579512312535,0.331112930928931,0.6842293582103316,-0.6497648900446459,0.61538491621029,-0.6786008759307425,-0.4010015661900629,345.171773444352,2427.454014857367,4.863110876979547,0.00016553392341919909,3.999504374782964,1,0
2,986.0947789139373,11029.091248797062,42.5061154712098,143.45652506549106,17.215291342698038,-3783813.266976728,2803465.291067164,4287227.188579841,-208.7028699964855,-277.168399240573,0.42185985549923366,-1.505537068894792,3.5455910902830166,-2.267012220352742,-2.16816095246638,-0.6102704608954337,0.2611224032265289,11.183934733728556,-0.0000025896300908101466,-0.00727912925415275,220,0.013137036352858306,113,80,0,49.521932024733545,0.009505733062754674,0,12.215826759621969,-0.6716001530971948,-0.0025536207120988416,-7.17791135255978,11029.091248797062,0,0,0,0,0,270,3.848893376317958,0,0,-0.7153324854089008,-0.2671288919373883,-0.6457101442683301,0.3310604303757386,0.6842096584339947,-0.6498123842656947,0.6153847794332871,-0.6786009861457168,-0.40100158957777854,346.9573279930679,9849.707517877856,4.982005371090387,0.000681070590229552,4.026903737971727,1,0
3,979.1421683709059,11030.450400371952,42.5060985100014,143.45657904613464,20.101510686799884,-3784023.0624912414,2803187.822818328,4287227.7497326275,-210.89665062754662,-277.7626801332384,0.709283247822136,-2.2630006251330332,5.328530889152854,-3.518854219709964,-2.219108679016365,-0.5777621035537797,0.31414540618556686,11.263847286262592,-0.000008723570453561535,-0.01684591070549679,220,0.019912930073510846,113,80,0,48.7073150006636,0.013843387964312247,0,28.05754864119743,-1.5425443020561724,-0.008541615690201138,-16.494541536362096,11030.450400371952,0,0,0,0,0,270,8.67277817582573,0,0,-0.7153570830545789,-0.2671792677724063,-0.6456620498343117,0.3310077010942454,0.6841898059680166,-0.6498601474361622,0.6153845509435115,-0.6786011702628052,-0.40100162864757055,348.7549380344927,22469.72081875785,5.101848855804485,0.0015754038094617593,4.05410953368761,1,0
4,972.1895578278745,11032.41752345489,42.50607472367509,143.4566547354902,24.28020230680704,-3784235.0769613506,2802909.7770813154,4287228.625247955,-213.14047504341585,-278.3228276946429,1.0510192623455608,-3.0215893861684653,7.113508700153732,-4.8523096899101645,-2.2682196253602624,-0.5419665263350284,0.3697742074483692,11.345132955783296,-0.000020671964955809585,-0.03078769684534377,220,0.026824214310880536,113,80,0,47.87799255381042,0.017958359502169383,0,50.88832288906317,-2.7977316734812585,-0.020097068473192956,-29.93147738261271,11032.41752345489,0,0,0,0,0,270,15.43600420428007,0,0,-0.715381861114863,-0.2672298363983143,-0.6456136672394451,0.33095474256616875,0.6841698004297578,-0.6499081800938241,0.615384230510334,-0.6786014284677241,-0.401001683438821,350.5617822284179,40480.47493328904,5.222793943291968,0.00287776355028141,4.081079090593944,1,0
5,965.2369472848432,11035.030783364105,42.506044109478744,143.45675213486956,29.83405550941825,-3784449.3594835196,2802631.189670495,4287229.870768043,-215.43241964314723,-278.8454422684531,1.4497539262662653,-3.779646901103764,8.896627998825199,-6.269547584175764,-2.315320053845916,-0.5026582604368861,0.4281698011360371,11.427840204563685,-0.000040346862006046535,-0.049427988122240585,220,0.03386863067265175,113,80,0,47.03238878774457,0.02184351559635913,0,81.07244124753238,-4.457190252057163,-0.0389442819147002,-47.70972036554086,11035.030783364105,0,0,0,0,0,270,24.14001720249207,0,0,-0.7154068195703756,-0.26728059777077495,-0.6455649963926925,0.33090155475165883,0.6841496417507444,-0.6499564822011262,0.6153838180965885,-0.6786017607902481,-0.4010017539578098,352.37481449961354,64064.19864011,5.344984121314898,0.004617716162435542,4.107767763955915,1,0
6,958.2843367418118,11038.329060782751,42.50600668013392,143.4568711964153,36.847980961203575,-3784665.957143674,2802352.0999132036,4287231.54470216,-217.77038691259756,-279.3268970175041,1.9083358294262498,-4.535392731733412,10.673705881863162,-7.77284223467787,-2.3602359856309256,-0.45960848590696335,0.48949627949064567,11.512020255787668,-0.00006959600181932757,-0.07309387109099807,220,0.04104391397629576,113,80,0,46.16891486482339,0.02549274936982578,0,118.9635981880444,-6.5403654069629455,-0.06669275844271398,-70.04471177832895,11038.329060782751,0,0,0,0,0,270,34.7792699292253,0,0,-0.7154319579840094,-0.26733155140538234,-0.6455160378475178,0.33084813812562774,0.6841293302008221,-0.6500050531017278,0.6153833138735337,-0.6786021670921527,-0.4010018401751567,354.190765773372,93391.92909395997,5.468552234769221,0.0068250780652434895,4.134128866894579,1,0
7,951.3317261987804,11042.351945459703,42.505962464957136,143.4570118195996,45.409217740409076,-3784884.9148432733,2802072.5508785336,4287233.708390702,-220.15210548642662,-279.7633347684839,2.4297791185697513,-5.2869214440184615,12.440270576391558,-9.364576680904019,-2.40279377927175,-0.41258539933946947,0.5539206386954154,11.597727264157854,-0.00011016913763839398,-0.10211532850750249,220,0.04834787229198494,113,80,0,45.285972425677734,0.028901072543605535,0,164.9035699027672,-9.066047265752127,-0.10480739588450351,-97.14555174039722,11042.351945459703,0,0,0,0,0,270,47.34543339565937,0,0,-0.7154572754712284,-0.26738269634665945,-0.6454667928481501,0.33079449371446434,0.6841088664125594,-0.650053891476633,0.6153827182359592,-0.6786026470550443,-0.40100194202323874,356.00614721863235,128623.45837542441,5.5936188696706965,0.009529848543974428,4.1601136023853655,1,0
8,944.379115655749,11047.139725954807,42.50591151098887,143.4571738476969,55.6074437238276,-3785106.2751256987,2801792.589609121,4287236.426272176,-222.57513069730294,-280.15066514563557,3.0172663419795516,-6.032201856344484,14.19155947189778,-11.047246056072387,-2.4428205184990714,-0.3613544174068908,0.6216126777551345,11.685018461792932,-0.00016368597162230714,-0.13682481665133883,220,0.05577847549855233,113,80,0,44.381957184216105,0.032064688439893026,0,219.22137526411086,-12.052324585692684,-0.15458161312667945,-129.2144993489522,11047.139725954807,0,0,0,0,0,270,61.82450041773333,0,0,-0.715482770670171,-0.26743403113683484,-0.6454172633762114,0.33074062313303776,0.6840882514058463,-0.6501029953000228,0.6153820318173948,-0.6786032001681056,-0.4010020593935904,357.81725486991536,169907.71592622643,5.720290640436401,0.012762167635742247,4.185670996441342,1,0
9,937.4265051127177,11052.733375070638,42.505853884128655,143.45735706423457,67.53488940745592,-3785330.0780033516,2801512.2673557275,4287239.766053007,-225.0368453970569,-280.48456180857374,3.674151249556012,-6.7690764248902,15.922517398103734,-12.82346105647766,-2.480144159999183,-0.30567817445899426,0.692745014596718,11.773954272826785,-0.0002316067613650219,-0.17755717844725982,220,0.06333395216312591,113,80,0,43.45526267506435,0.034981042932948785,0,282.2330026950145,-15.516569737676802,-0.2171143168663064,-166.44680524949013,11052.733375070638,0,0,0,0,0,270,78.19663819829313,0,0,-0.71550844171159,-0.26748555378442357,-0.645367452197655,0.3306865286219632,0.6840674866126542,-0.6501523617948348,0.6153812555054045,-0.6786038257157754,-0.40100219213428956,359.62017544433064,217383.63325661296,5.84865838309972,0.016552305330657432,4.210747832924498,1,0
10,930.4738945696863,11059.17453058873,42.50578967027549,143.4575611894224,81.28645525872707,-3785556.3607855984,2801231.639814627,4287243.798880162,-227.53446078457043,-280.76045956679576,4.403961677927712,-7.495260618213075,17.62779480820052,-14.695951524159629,-2.514593390598071,-0.2453162710366339,0.7674932442045632,11.864598389934432,-0.0003152065592715303,-0.2246499630344143,220,0.07101289446320863,113,80,0,42.504284122586704,0.03764885230303964,0,354.24178295507795,-19.475459201208903,-0.2932914748000752,-209.03092601956615,11059.17453058873,0,0,0,0,0,270,96.43721007723869,0,0,-0.7155342861886478,-0.26753726173262543,-0.6453173629099955,0.33063221308510704,0.6840465739019468,-0.6502019873881137,0.6153803904569487,-0.6786045227653711,-0.40100234004733215,361.41079311379764,271181.53280511353,5.978795259081607,0.020930688453345232,4.235288590480844,1,0
11,923.5212840266549,11066.505470905066,42.50571897647466,143.45778587655798,96.95983270183206,-3785785.157907417,2800950.7673680508,4287248.599516776,-230.06501692420176,-280.9735510998776,5.210402675163434,-8.208342104436706,19.301745461559445,-16.66757017891806,-2.545997142582207,-0.18002472937370673,0.8460362638682266,11.957017805921934,-0.000415553903121868,-0.2784442234644118,220,0.07881437079566724,113,80,0,41.52742239220813,0.040068107628898175,0,435.5394820541188,-23.94503365046666,-0.38377287419379463,-257.1491667836596,11066.505470905066,0,0,0,0,0,270,116.51505181275648,0,0,-0.7155603011265359,-0.2675891518275083,-0.645266999989877,0.33057768012737576,0.6840255156047677,-0.6502518676660869,0.6153794381138387,-0.6786052901546424,-0.4010025028859916,363.18479693682957,331425.0776627372,6.110754776261379,0.025927971628400014,4.259235382150007,1,0
12,916.5686734836236,11074.76908518521,42.50564193207323,143.45803070839875,114.65562894567847,-3786016.5007582554,2800669.715328238,4287254.246521093,-232.62538258724084,-281.1187829682571,6.09736004472622,-8.905779545631335,20.938423134149527,-18.74129654138316,-2.574183715931574,-0.10955511170783616,0.9285567905693721,12.051282793567058,-0.0005334945889226006,-0.3392858643226302,220,0.08673804566781046,113,80,0,40.52308797568777,0.042240056041511015,0,526.4081811927347,-28.940801309431553,-0.48898442767864964,-310.97879459393846,11074.76908518521,0,0,0,0,0,270,138.39264907699496,0,0,-0.7155864829518472,-0.267641220285893,-0.6452163688410916,0.3305229340928823,0.6840043145395589,-0.6503019973288566,0.6153784002183028,-0.6786061264792312,-0.40100268035215914,364.9376886002996,398233.813421482,6.244568736311121,0.03157515868334839,4.282527898205461,1,0
13,909.6160629405922,11084.008837626492,42.50555868988904,143.45829519348578,134.47749584820122,-3786250.417510223,2800388.5541859795,4287260.82242924,-235.21225399788062,-281.1908505553773,7.06890451318663,-9.584900765468397,22.53157681916046,-20.92024109455546,-2.598979456722942,-0.033653257378775336,1.0152420951952257,12.147466826948424,-0.0006696409369917333,-0.4075276105121932,220,0.0947843064490777,113,80,0,39.4897049523351,0.04416715985397553,0,627.1230023011876,-34.47788779621526,-0.6091161526891484,-370.6936606136882,11084.008837626492,0,0,0,0,0,270,162.02616339469557,0,0,-0.7156128274615758,-0.2676934626628048,-0.6451654758432491,0.33046798010364775,0.6839829740378192,-0.6503523701445202,0.6153772788287392,-0.6786070300799849,-0.40100287209365293,366.6647900710356,471726.3281418951,6.380245119524463,0.03790378072783335,4.305103352851922,1,0
14,902.6634523975608,11094.268725413365,42.50546942739996,143.45857876239745,156.532263064757,-3786486.9329442843,2800107.3598649176,4287268.413942582,-237.82215201480716,-281.18419153809987,8.129296750686354,-10.242900028214931,24.074643815208724,-23.20764973687591,-2.6202069416835245,0.04794240499017999,1.1062849778302022,12.245646437611994,-0.0008243667210230399,-0.4835316675896446,220,0.10295439658581655,113,80,0,38.425714858146726,0.04585303521060678,0,737.9557290521254,-40.571235198631506,-0.7441257104402638,-436.46636441001993,11094.268725413365,0,0,0,0,0,270,187.364502328959,0,0,-0.7156393297915565,-0.2677458738182955,-0.6451143284013844,0.3304128240990703,0.6839614979702486,-0.6504029789024419,0.6153760763357385,-0.678607999030052,-0.4010030777014813,368.3612507112408,552024.0519127994,6.517765920592738,0.044946137002523374,4.326896435446275,1,0
15,895.7108418545295,11105.59322998082,42.505374347962444,143.45888076390315,180.93007584661245,-3786726.0682726395,2799826.2139832983,4287277.1121206265,-240.4514172298151,-281.0929774387038,9.28299349720342,-10.87683413965356,25.560740035015623,-25.606908585502524,-2.637682619472945,0.13550301376337526,1.2018850080321046,12.345900999050668,-0.0009978076820136295,-0.567673143402935,220,0.11125055495427848,113,80,0,37.329580384564736,0.04730237247636098,0,859.1793649539794,-47.2358526684689,-0.89374715886497,-508.47098917564864,11105.59322998082,0,0,0,0,0,270,214.34940648075695,0,0,-0.7156659843840979,-0.2677984478833725,-0.6450629349968859,0.3303574728764691,0.6839398907735843,-0.6504538153653112,0.615374795478506,-0.678609031121657,-0.4010032967070379,370.022053371757,639255.7143317166,6.657084950874417,0.05273560446211544,4.347839266917863,1,0
16,888.7582313114981,11118.027261159132,42.50527368207169,143.45920046097945,207.78453782666475,-3786967.8409549287,2799545.204125331,4287287.012580717,-243.09620241546946,-280.91110276814254,10.534655071498687,-11.483617053358852,26.982646803127793,-28.12154919409434,-2.651213859192042,0.22931194289514956,1.302250053913479,12.44831243294404,-0.001189867307960668,-0.6603443010177021,220,0.11967616115613677,113,80,0,36.199788818275444,0.04852084105024044,0,991.0736632370457,-54.487120442856984,-1.057504364117268,-586.886433029122,11118.027261159132,0,0,0,0,0,270,242.91477518533108,0,0,-0.7156927849544853,-0.26785117822468885,-0.6450113052402562,0.33030193413310976,0.683918157478391,-0.6505048702195007,0.6153734393618396,-0.6786101238524288,-0.4010035285792028,371.6420189439191,733562.4771680221,6.798125624546817,0.06130702200355764,4.367861362152929,1,0
17,881.8056207684667,11131.61609380844,42.50516768867807,143.45953702664005,237.21285926550627,-3787212.2645052993,2799264.424124831,4287298.215706058,-245.75246170385765,-280.6321712257653,11.889154563660062,-12.060012638428113,28.332793345930806,-30.755254255138325,-2.660595355412819,0.329668028130091,1.4075981244031661,12.552964830511517,-0.001400227339595439,-0.7619597148156134,220,0.1282358867548339,113,80,0,35.034855123397286,0.04951498164196696,0,1133.931658758449,-62.34114895449756,-1.2347283384084293,-671.9003593235457,11131.61609380844,0,0,0,0,0,270,272.9866966582603,0,0,-0.7157197244559462,-0.2679040574075753,-0.6449594499263211,0.3302462165102069,0.6838963037381343,-0.6505561330231319,0.6153720114738708,-0.6786112744111138,-0.40100377272131266,373.21580882464224,835103.7612415649,6.940778747494886,0.07069715534379238,4.386889599116392,1,0
18,874.8530102254354,11146.405296536206,42.50505665657835,143.45988953952383,269.33601126167923,-3787459.348286745,2798983.9743643757,4287310.826863902,-248.41593582639948,-280.2494783741155,13.35158903716701,-12.602625236403433,29.603234108946207,-33.511863862899425,-2.665604835912073,0.436889399046267,1.5181595505131646,12.659943981948992,-0.0016283622733501701,-0.8729624061699086,220,0.13693585271788528,113,80,0,33.83332455780438,0.05029208928130465,0,1288.0672312466004,-70.81519464274615,-1.4245776365783824,-763.7137888513843,11146.405296536206,0,0,0,0,0,270,304.48249825497237,0,0,-0.7157467950425999,-0.26795707715690276,-0.6449073810926467,0.33019032963950007,0.6838743358599351,-0.65060759215113,0.6153705157048107,-0.678612479662482,-0.4010040284679604,374.7379247304535,944063.7919736204,7.084900328735555,0.08094524887614918,4.4048481955509144,1,0
19,867.900399682404,11162.440652121948,42.504940905903,143.46025697917065,304.27888656407595,-3787709.0972884125,2798703.9620938073,4287324.956636095,-251.08213268825585,-279.75599015675255,14.927293093493152,-13.107887604456122,30.785619962305002,-36.39538241969143,-2.665998012564015,0.5513179704732858,1.6341795342366705,12.769336806256653,-0.0018735569835408583,-0.9938310433546125,220,0.1457837936787464,113,80,0,32.59377470647577,0.05086009041860831,0,1453.8237331171094,-79.92813429256599,-1.6260608548442292,-862.5463597442476,11162.440652121948,0,0,0,0,0,270,337.3108678416169,0,0,-0.7157739880298007,-0.26801022831516014,-0.6448551120820633,0.3301342841931323,0.6838522608374762,-0.6506592347364022,0.6153689563669935,-0.678613736131187,-0.40100429508157254,376.20270528395594,1060658.8980214004,7.230309434441761,0.0920936714878972,4.4216586941109295,1,0
20,860.9477891393726,11179.768069242804,42.50482078972529,143.4606382209056,342.17046762723476,-3787961.511880823,2798424.5017725816,4287340.7210645275,-253.7463024870013,-279.14431656962216,16.621855182996374,-13.572045807198323,31.87116227134715,-39.409986275753425,-2.6615027064894177,0.6733246551861587,1.755921098240223,12.881230672588197,-0.0021349264821264313,-1.1250883036377957,220,0.1547892300712196,113,80,0,31.31481680689385,0.05122741744651674,0,1631.5837251933356,-89.7010002837209,-1.8380602347617143,-968.6422876035272,11179.768069242804,0,0,0,0,0,270,371.3710269453363,0,0,-0.7158012938512022,-0.2680635007970307,-0.6448026576103614,0.33007809193767107,0.6838300863866227,-0.6507110466061339,0.6153673382165576,-0.6786150399843082,-0.40100457174870763,377.6043187897494,1185145.612848714,7.376786104059376,0.10418866441760484,4.437239956880552,1,0
21,853.9951785963412,11198.433485138185,42.50469669582169,143.46103203023804,383.1440027207136,-3788216.5875431295,2798145.7154411823,4287358.241914432,-256.40340650977856,-278.40667972876275,18.441137082228046,-13.991140578433454,32.85058871020939,-42.56003220203587,-2.651812064625349,0.8033153722114248,1.8836684764028062,12.99571260258461,-0.002411436777685516,-1.2673105153424848,220,0.16396364973105898,113,80,0,29.995096234903926,0.05140288382141652,0,1821.7798813927004,-100.15758010721737,-2.059355381634205,-1082.2770698869265,11198.433485138185,0,0,0,0,0,270,406.55244280368595,0,0,-0.7158287020117432,-0.26811688353964624,-0.6447500338403794,0.3300217657932442,0.683807820984399,-0.6507630122120317,0.6153656664771703,-0.678616387012247,-0.4010048575760052,378.93675161469645,1317829.6510837902,7.52406934644113,0.11728120089839401,4.451508170233717,1,0
