time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s2),acc_Body_Y(m/s2),acc_Body_Z(m/s2),Isp(s),Mach number,attitude_azimuth(deg),attitude_elevation(deg),attitude_roll(deg),angle of attack alpha(deg),angle of attack beta(deg),all angle of attack gamma(deg),dynamic pressure(Pa),aeroforce_Body_X[N],aeroforce_Body_Y[N],aeroforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
1,993.0473894569686,11028.3026159847,42.506125624537866,143.45649274615525,15.540960900485516,-3783605.6394511107,2803742.149316108,4287226.888755566,-206.56074792224086,-276.54309918566065,0.18623151158407972,-0.7506771530323308,1.7681722717722503,-1.0946698895528089,-2.115549382667222,-0.6397133705228537,0.21054748283304203,11.105349424202679,-0.0000003278797642281006,-0.001768095751555343,220,0.006498283204275788,113,80,0,50.32264236563568,0.0049525070583779935,0,2.989589601829634,-0.16436127278123724,-0.0003256001454292272,-1.7558028703914397,11028.3026159847,0,0,0,0,0,270,0.9551567367385206,0,0,-0.7153080678055969,-0.26707870852474236,-0.6457579512363587,0.33111293093301125,0.6842293582130101,-0.6497648900397461,0.6153849162119386,-0.678600875929414,-0.401001566189781,345.171642768611,2427.132714331766,4.863224223486189,0.00016551201335025456,3.9995043803369303,1,0
2,986.0947789139373,11029.091160047627,42.50611547326716,143.45652505894614,17.215102905407548,-3783813.266420795,2803465.291324765,4287227.188620999,-208.70173806643442,-277.1678695532461,0.42194896854870706,-1.50506988820212,3.544491657007546,-2.2666343798230986,-2.168163723983798,-0.6102729506498861,0.26112097871195505,11.183935015818957,-0.000002586262374926207,-0.007275150514896023,220,0.013133447117744423,113,80,0,49.51833828864543,0.009498560593427404,0,12.209152850655114,-0.6712332357880273,-0.002550299824981968,-7.173987938551985,11029.091160047627,0,0,0,0,0,270,3.848893376317958,0,0,-0.7153324853533288,-0.2671288918788094,-0.645710144354128,0.33106043044429667,0.6842096584790149,-0.649812384183363,0.6153847794610023,-0.6786009861233838,-0.40100158957303944,346.9562240767096,9844.326119715723,4.982536318783868,0.0006806984989082982,4.026903827972645,1,0
3,979.1421683709059,11030.449948259964,42.506098520834215,143.45657901168633,20.10055047366768,-3784023.0595837357,2803187.8241880704,4287227.749970956,-210.8926883701436,-277.7607955193234,0.7096265222627193,-2.261354198966923,5.324658089594013,-3.5175658950255464,-2.2191234725337363,-0.5777753714079776,0.3141378144060738,11.26384880739155,-0.000008697768218546287,-0.01682469227980432,220,0.019900393353648224,113,80,0,48.69813392609256,0.013819836782659741,0,28.022234187487904,-1.5406027885602331,-0.008516351633925149,-16.47376568102047,11030.449948259964,0,0,0,0,0,270,8.669132072110296,0,0,-0.7153570827620738,-0.26717926746414167,-0.6456620502859527,0.3310077014550862,0.6841898062050271,-0.6498601470028363,0.6153845510894438,-0.6786011701452129,-0.40100162862261735,348.7510417264943,22441.43737904953,5.103193763277751,0.001573420937557499,4.054109995430554,1,0
4,972.1895578278745,11032.416081588033,42.5060747590272,143.45665462311194,24.27713878452778,-3784235.0675167628,2802909.781580104,4287228.626073064,-213.1307853102224,-278.3181692477022,1.051910113757343,-3.0175445261013425,7.103998339104848,-4.84921490843295,-2.2682685857570206,-0.5420103833642398,0.36974910580243403,11.345138026000939,-0.000020562469179807863,-0.030717517528244365,220,0.026793649576825396,113,80,0,47.85992594576628,0.017904008769202024,0,50.772438455195314,-2.7913605939744266,-0.01999061782100924,-29.863249783354274,11032.416081588033,0,0,0,0,0,270,15.425760071309716,0,0,-0.7153818601606198,-0.26722983539286627,-0.6456136687129798,0.3309547437433024,0.6841698012031059,-0.6499081786802715,0.6153842309865736,-0.6786014280839706,-0.4010016833573883,350.5521951082779,40388.27968179121,5.225416771547954,0.002871210219754937,4.081080573706825,1,0
5,965.2369472848432,11035.027227790717,42.50604419830183,143.4567518526139,29.826496982946992,-3784449.3358414867,2802631.2010299996,4287229.872934848,-215.4129327644568,-278.83598874221,1.4516338510807871,-3.7714801943232406,8.877434488336057,-6.263419378914518,-2.3154448416764914,-0.5027699234011904,0.42810586774144976,11.427853202058433,-0.000040008727212104134,-0.04924921315648412,220,0.0338073863376749,113,80,0,47.001454890406976,0.021738982023957666,0,80.77957367881568,-4.441089016515949,-0.0386179017187344,-47.53716016334532,11035.027227790717,0,0,0,0,0,270,24.11437167361333,0,0,-0.7154068171735989,-0.267280595245873,-0.6455650000941444,0.3309015577081992,0.6841496436935335,-0.6499564786509159,0.6153838192931532,-0.6786017598260581,-0.40100175375320835,352.35542774429894,63832.72560710196,5.3494325229582635,0.004601035040161363,4.107771447583441,1,0
6,958.2843367418118,11038.321612552052,42.50600686934396,143.45687059537812,36.83213665988296,-3784665.906946363,2802352.124212996,4287231.549491406,-217.73576176864162,-279.30996381426775,1.9118185604890694,-4.520829238452691,10.63949456813129,-7.7621067768508345,-2.3605054759357342,-0.4598493983982608,0.4893582776027303,11.512048462729162,-0.00006873316023803255,-0.07270797054038347,220,0.040935548017518704,113,80,0,46.12042924921695,0.025310119828115343,0,118.3364640335671,-6.505886906043827,-0.06586591087205432,-69.67490932513553,11038.321612552052,0,0,0,0,0,270,34.72559607854157,0,0,-0.7154319528801668,-0.2673315460298145,-0.6455160457303752,0.33084814442124855,0.6841293343387009,-0.6500050455421885,0.6153833164224453,-0.6786021650382462,-0.4010018397393176,354.15614196157384,92899.4583380129,5.475454935116676,0.006789098659552329,4.134136639358776,1,0
7,951.3317261987804,11042.338007187876,42.50596282458799,143.45701067761672,45.37954307068139,-3784884.8197176633,2802072.5972387856,4287233.717791341,-220.09563817688138,-279.73551642007817,2.4356706578236755,-5.263093120620365,12.384317419128365,-9.347297555204298,-2.403312560461382,-0.41304879020852026,0.5536550889473997,11.597781792711903,-0.00010828852819777524,-0.10137274278440556,220,0.04817198235167595,113,80,0,45.214529271624514,0.02861545310672604,0,163.70648799407635,-9.00023425047558,-0.10301831245761342,-96.43910638259226,11042.338007187876,0,0,0,0,0,270,47.243156241982916,0,0,-0.7154572657736185,-0.2673826861347902,-0.6454668078275457,0.3307945056761948,0.684108874276278,-0.6500538771139555,0.6153827230806694,-0.6786026431511949,-0.4010019411948429,355.9494087406943,127689.37997191532,5.603682179156973,0.009460668663324895,4.160128253711967,1,0
8,944.379115655749,11047.115712982326,42.50591213971103,143.45717185188687,55.55626987013966,-3785106.109278377,2801792.6709368858,4287236.443183067,-222.4886857438884,-280.10780015894045,3.02657416983549,-5.995617170709317,14.105682128942885,-11.02110472594432,-2.443737892168188,-0.36217328813576266,0.6211432521562577,11.685115228804833,-0.00016001922424635495,-0.1355121084213513,220,0.05551063278452023,113,80,0,44.28146210537692,0.03164943857637646,0,217.1223904438592,-11.936926868094949,-0.15111881348098755,-127.97480511160224,11047.115712982326,0,0,0,0,0,270,61.645920440441095,0,0,-0.715482753721743,-0.26743401329286737,-0.6454172895583308,0.33074064403819253,0.6840882651518263,-0.6501029701999265,0.6153820402871321,-0.6786031933432345,-0.4010020579453569,357.7300031380219,168280.06815923788,5.734286867990045,0.01263997336472895,4.1856964237004615,1,0
9,937.4265051127177,11052.694528129128,42.505854914514146,143.45735379436854,67.45200814493,-3785329.8068448026,2801512.4010288464,4287239.794433595,-224.91098195018182,-280.4218912061161,3.6879739837092105,-6.7157061398708855,15.79727802942652,-12.785687138318972,-2.4816611886199498,-0.3070316328636018,0.6919688440794127,11.774114690519902,-0.00022503938010842717,-0.17538688604315755,220,0.06294627459376793,113,80,0,43.3195032824415,0.03440874906146581,0,278.79113173901726,-15.327342998752416,-0.21095787960923465,-164.41231562604005,11052.694528129128,0,0,0,0,0,270,77.9041839330064,0,0,-0.7155084139438028,-0.2674855245541723,-0.6453674950984153,0.3306865628724207,0.6840675091379682,-0.6501523206737021,0.6153812693861005,-0.678603814530802,-0.4010021897608497,359.49268145751495,214730.8982434177,5.867339705599915,0.01635044765126353,4.210789272910778,1,0
10,930.4738945696863,11059.1147097352,42.505791273727844,143.45755610236733,81.15865683183074,-3785555.93959959,2801231.8482897044,4287243.843842032,-227.35834146369965,-280.67256450560336,4.423515570308135,-7.420493482578355,17.452395999229985,-14.64331364037211,-2.516971983857614,-0.2474376754473342,0.7662762073672473,11.864850292901059,-0.00030420600999025993,-0.2212475527143507,220,0.07047393300385126,113,80,0,42.326613574542556,0.03689224665709841,0,348.8903573679307,-19.181249213269652,-0.28305575086688745,-205.86507203813298,11059.1147097352,0,0,0,0,0,270,95.98213589882721,0,0,-0.7155342429894824,-0.2675372162649579,-0.6453174296597491,0.3306322663703878,0.6840466089519869,-0.6502019234176936,0.615380412057655,-0.678604505359701,-0.4010023363538749,361.2318803611845,267081.59092847235,6.002932099464457,0.020614494748549986,4.235352881219016,1,0
