time(s),mass(kg),thrust(N),lat(deg),lon(deg),altitude(m),pos_ECI_X(m),pos_ECI_Y(m),pos_ECI_Z(m),vel_ECI_X(m/s),vel_ECI_Y(m/s),vel_ECI_Z(m/s),vel_NED_X(m/s),vel_NED_Y(m/s),vel_NED_Z(m/s),acc_ECI_X(m/s2),acc_ECI_Y(m/s2),acc_ECI_Z(m/s2),acc_Body_X(m/s2),acc_Body_Y(m/s2),acc_Body_Z(m/s2),Isp(s),Mach number,attitude_azimuth(deg),attitude_elevation(deg),attitude_roll(deg),angle of attack alpha(deg),angle of attack beta(deg),all angle of attack gamma(deg),dynamic pressure(Pa),aeroforce_Body_X[N],aeroforce_Body_Y[N],aeroforce_Body_Z[N],thrust_Body_X[N],thrust_Body_Y[N],thrust_Body_Z[N],gimbal_angle_pitch(deg),gimbal_angle_yaw(deg),wind speed(m/s),wind direction(deg),downrange(m),IIP_lat(deg),IIP_lon(deg),dcmBODY2ECI_11,dcmBODY2ECI_12,dcmBODY2ECI_13,dcmBODY2ECI_21,dcmBODY2ECI_22,dcmBODY2ECI_23,dcmBODY2ECI_31,dcmBODY2ECI_32,dcmBODY2ECI_33,inertial velocity(m/s),kinematic_energy_NED(J),loss_gravity(m/s2),loss_aerodynamics(m/s2),loss_thrust(m/s2),is_powered(1=powered 0=free),is_separated(1=already 0=still)
1,993.0473894569686,11028.302621666755,42.50612562441668,143.45649274654096,15.540972962975502,-3783605.6394844386,2803742.1493013445,4287226.888753792,-206.56088345611636,-276.54316110428044,0.18622238166681324,-0.7507325534647421,1.768302712270168,-1.0947168231337918,-2.115549219863561,-0.6397132238051517,0.21054756686073883,11.105349408009918,-0.000000327985207881909,-0.0017683299117732254,220,0.006498713396916725,113,80,0,50.32340393416368,0.0049534438743968675,0,2.989985438107538,-0.16438303501723428,-0.0003257048551443539,-1.7560354025850344,11028.302621666755,0,0,0,0,0,270,0.9692384309580379,0,0,-0.7153080678088717,-0.2670787085281954,-0.6457579512313031,0.33111293092897076,0.6842293582103578,-0.649764890044598,0.6153849162103062,-0.6786008759307295,-0.40100156619006017,345.1717734787923,2427.4540813802496,4.863110790489581,0.00016553392794992834,3.9995043746150936,1,0
2,986.0947789139373,11029.091249133053,42.506115471212155,143.45652506548367,17.21529205609113,-3783813.266976647,2803465.291067861,4287227.188580517,-208.70287004930677,-277.16839928866295,0.42185982749851325,-1.5055370988397847,3.5455911603430055,-2.26701221158332,-2.168160952569404,-0.6102704606589922,0.2611224035068318,11.183934734050677,-0.0000025896311806050676,-0.007279129453140243,220,0.013137036532888386,113,80,0,49.52193261700388,0.009505736797549763,0,12.215827093399982,-0.6716001714475994,-0.0025536217851880702,-7.177911548779344,11029.091249133053,0,0,0,0,0,270,3.848893376317958,0,0,-0.7153324854088379,-0.2671288919373225,-0.6457101442684271,0.33106043037581584,0.6842096584340457,-0.6498123842656017,0.6153847794333188,-0.6786009861456914,-0.40100158957777315,346.9573280632239,9849.707787680274,4.982005283584162,0.0006810706088387212,4.026903737630999,1,0
3,979.1421683709059,11030.450400883252,42.50609851000483,143.45657904612378,20.101511772722006,-3784023.0624911473,2803187.822819365,4287227.749733643,-210.8966507085795,-277.762680206503,0.7092832053475463,-2.263000670929271,5.328530996220154,-3.5188542068136983,-2.2191086790633836,-0.577762103096179,0.3141454066692253,11.263847286741782,-0.000008723573270863483,-0.016845911165638938,220,0.019912930346554527,113,80,0,48.707315605406734,0.013843392056631007,0,28.05754940702688,-1.5425443441598454,-0.008541618448377395,-16.49454198690924,11030.450400883252,0,0,0,0,0,270,8.671736588339138,0,0,-0.7153570830544864,-0.26717926777230927,-0.6456620498344544,0.33100770109435895,0.6841898059680915,-0.6498601474360255,0.6153845509435578,-0.6786011702627678,-0.4010016286475626,348.7549381417588,22469.721434411364,5.101848767211544,0.001575403852462331,4.054109533165418,1,0
4,972.1895578278745,11032.417524145263,42.50607472367954,143.45665473547615,24.280203773640096,-3784235.076961264,2802909.777082686,4287228.625249311,-213.1404751540244,-278.32282779395524,1.051019205022598,-3.02158944848602,7.113508845739934,-4.85230967306382,-2.2682196252703797,-0.5419665255807731,0.3697742081813109,11.345132956414883,-0.000020671970642816007,-0.030787697686369686,220,0.026824214679231607,113,80,0,47.87799317207596,0.017958363949896666,0,50.88832427780895,-2.797731749831545,-0.020097073999062454,-29.93147820025079,11032.417524145263,0,0,0,0,0,270,15.43600420428007,0,0,-0.7153818611147434,-0.26722983639818876,-0.6456136672396297,0.3309547425663157,0.6841698004298546,-0.6499081800936474,0.6153842305103939,-0.6786014284676758,-0.4010016834388107,350.56178237434307,40480.47604370752,5.22279385352383,0.0028777636288157722,4.081079089883822,1,0
5,965.2369472848432,11035.030784238115,42.50604410948416,143.4567521348526,29.834057367406785,-3784449.3594834623,2802631.189672191,4287229.870769742,-215.43241978485716,-278.8454423948085,1.4497538536586174,-3.779646980697331,8.896628184636178,-6.269547563556959,-2.3153200535317078,-0.5026582593040918,0.4281698021684628,11.427840205343049,-0.00004034687197940201,-0.04942798947395355,220,0.03386863113891293,113,80,0,47.032389420785286,0.021843520400841462,0,81.07244346187044,-4.457190373796755,-0.03894429154418544,-47.70972167026572,11035.030784238115,0,0,0,0,0,270,24.13964301117715,0,0,-0.715406819570231,-0.2672805977706243,-0.6455649963929153,0.3309015547518358,0.6841496417508619,-0.6499564822009126,0.6153838180966614,-0.6786017607901893,-0.4010017539577973,352.37481468594143,64064.20040133555,5.344984030262603,0.00461771628855959,4.107767763050428,1,0
6,958.2843367418118,11038.329061845736,42.50600668014021,143.45687119639558,36.847983222454786,-3784665.9571436695,2802352.099915218,4287231.544704203,-217.7703870871305,-279.3268971720504,1.9083357410181507,-4.535392829461631,10.673706109843554,-7.772842210460057,-2.3602359849975922,-0.45960848430661594,0.48949628087745456,11.512020256710136,-0.0000695960178278554,-0.07309387309446214,220,0.04104391454344731,113,80,0,46.16891551412327,0.025492754535550242,0,118.96360144384148,-6.54036558595974,-0.06669277378225273,-70.04471369821466,11038.329061845736,0,0,0,0,0,270,34.7792699292253,0,0,-0.7154319579838411,-0.2673315514052068,-0.6455160378477769,0.33084813812583375,0.6841293302009585,-0.6500050531014795,0.6153833138736186,-0.6786021670920844,-0.40100184017514223,354.19076600208587,93391.93167020229,5.468552142301228,0.006825078252032303,4.1341288657853195,1,0
7,951.3317261987804,11042.35194671692,42.50596246496421,143.45701181957736,45.409220417030156,-3784884.9148433455,2802072.550880859,4287233.7083930895,-220.15210569574103,-279.76333495255335,2.429779013749412,-5.286921560865551,12.440270848775016,-9.364576653255579,-2.402793778215452,-0.412585397174849,0.5539206404961883,11.597727265217706,-0.0001101691617595435,-0.10211533131651862,220,0.048347872963462796,113,80,0,45.28597309296458,0.0289010780772561,0,164.90357443089835,-9.06604751469914,-0.10480741882977337,-97.14555441270429,11042.35194671692,0,0,0,0,0,270,47.34543339565937,0,0,-0.7154572754710391,-0.2673826963464615,-0.645466792848442,0.3307944937146965,0.684108866412713,-0.6500538914763533,0.6153827182360545,-0.6786026470549675,-0.4010019420232225,356.00614749200463,128623.4619404158,5.593618775633369,0.009529848805657083,4.160113601063831,1,0
8,944.379115655749,11047.139727410942,42.505911510996654,143.45717384767246,55.60744682699442,-3785106.275125873,2801792.58961175,4287236.426274912,-222.57513094363597,-280.15066536078086,3.017266220018959,-6.032201993443561,14.19155979126069,-11.047246025152141,-2.4428205169052717,-0.3613544145726406,0.621612680034489,11.685018462982713,-0.00016368600631277985,-0.13682482043424748,220,0.055778476278316426,113,80,0,44.381957871487224,0.032064694350729256,0,219.22138131263563,-12.0523249182277,-0.15458164588745965,-129.2145029214528,11047.139727410942,0,0,0,0,0,270,61.82450041773333,0,0,-0.7154827706699629,-0.26743403113661746,-0.6454172633765323,0.330740623133293,0.6840882514060151,-0.6501029952997152,0.6153820318174998,-0.6786032001680211,-0.4010020593935724,357.81725519056147,169907.720664822,5.7202905446529995,0.012762167987862503,4.1856709948994455,1,0
9,937.4265051127177,11052.733376734193,42.50585388413708,143.45735706420814,67.53489295672625,-3785330.078003654,2801512.2673586532,4287239.766056094,-225.0368456829696,-280.48456205660614,3.674151109589793,-6.769076583548056,15.922517767422736,-12.823461022430646,-2.4801441577446255,-0.30567817083840687,0.6927450174278382,11.773954274141792,-0.00023160680950340407,-0.1775571833888323,220,0.06333395305573003,113,80,0,43.45526338460793,0.03498104923225437,0,282.2330105314334,-15.516570168506435,-0.21711436199210118,-166.446809881848,11052.733376734193,0,0,0,0,0,270,78.19663819829313,0,0,-0.7155084417113644,-0.26748555378418815,-0.6453674521980022,0.33068652862223946,0.6840674866128369,-0.6501523617945019,0.6153812555055179,-0.6786038257156839,-0.40100219213427013,359.6201758152661,217383.63936662293,5.848658285370464,0.016552305790245067,4.2107478311499,1,0
10,930.4738945696863,11059.174532464138,42.505789670284464,143.45756118939426,81.28645926527679,-3785556.360786055,2801231.6398178427,4287243.798883604,-227.53446111299726,-280.76045984982477,4.403961518932301,-7.49526079993657,17.627795230913694,-14.695951487115078,-2.514593387543016,-0.24531626650288452,0.7674932476649845,11.86459839136417,-0.0003152066241964846,-0.22464996933838854,220,0.07101289547384863,113,80,0,42.504284856998396,0.037648859003937114,0,354.2417928694808,-19.47545974628167,-0.2932915352098445,-209.03093188524983,11059.174532464138,0,0,0,0,0,270,96.4371164109127,0,0,-0.7155342861884078,-0.26753726173237485,-0.6453173629103655,0.33063221308540114,0.6840465739021415,-0.6502019873877593,0.6153803904570697,-0.6786045227652736,-0.4010023400473115,361.41079353849875,271181.5404993522,5.978795159184918,0.020930689039146477,4.235288588465306,1,0
